Employee_ID,Name,Role,Location,Years of Experience,Active?,Compensation,Last Working Day
1,Aditi Khanna,Analyst,Jaipur,01-Feb,Y,"6,53,874",
2,Pooja Kaur,Senior Analyst,Banglore,02-Mar,Y,"7,98,703",
3,Kajal Mehta,Analyst,Banglore,01-Feb,Y,"6,63,851",
4,Amaya Joshi,Analyst,Jaipur,0-1,Y,"5,70,000",
5,Bilal Kulkarni,Associate,Jaipur,03-Apr,Y,"9,76,125",
6,Girish Reddy,Analyst,Pune,01-Feb,Y,"6,70,531",
7,Esha Dhillon,Analyst,Pune,01-Feb,Y,"6,52,076",
8,Kashi Nair,Analyst,Banglore,01-Feb,Y,"6,55,787",
9,Himanshu Dhillon,Senior Analyst,Pune,02-Mar,Y,"8,95,396",
10,Hetal Bhatia,Senior Analyst,Pune,02-Mar,Y,"8,20,895",
11,Anusha Verma,Analyst,Jaipur,01-Feb,Y,"6,93,712",
12,Mukta Iyer,Analyst,Banglore,01-Feb,Y,"6,80,229",
13,Hari Menon,Analyst,Pune,0-1,N,"5,70,000",12-05-2024
14,Jai Menon,Senior Associate,Pune,06-Jul,Y,"17,04,253",
15,Kalpana Sharma,Analyst,Banglore,01-Feb,Y,"6,69,692",
16,Leena Verma,Analyst,Banglore,01-Feb,Y,"6,77,168",
17,Arvind Sinha,Senior Analyst,Jaipur,02-Mar,Y,"7,34,868",
18,Anshul Gupta,Analyst,Jaipur,01-Feb,Y,"6,67,001",
19,Devi Menon,Senir Associate,Jaipur,01-Feb,Y,"17,14,061",
20,Farhan Gupta,Analyst,Pune,,Y,"6,65,610",
21,Rajeshwari Joshi,Associate,Banglore,03-Apr,Y,"11,80,331",No
22,Damodar Kumar,Associate,Jaipur,04-May,Y,"9,10,994",
23,Om Sinha,Senior Analyst,Banglore,02-Mar,Y,"8,46,412",
24,Kunal Kaur,Analyst,Banglore,0-1,Y,"5,70,000",
25,Nishant Reddy,Senior Analyst,Banglore,02-Mar,N,"7,50,000",15-05-2024
26,Gowri Iyer,Analyst,Pune,01-Feb,Y,"6,96,236",
27,Akshita Verma,Analyst,Jaipur,0-1,Y,"5,70,000",
28,Renu Gupta,Senior Associate,Banglore,05-Jun,Y,"22,91,090",
29,Mira Verma,Analyst,Banglore,0-1,Y,"5,70,000",
30,Chhavi Mehta,Associate,Jaipur,04-May,Y,"10,32,250",
31,Manasi Kulkarni,Analyst,Banglore,01-Feb,Y,"6,73,339",
32,Kiran Banerjee,Analyst,Banglore,01-Feb,N,"6,99,114",25-06-2024
33,Farah Mehta,Analyst,Pune,0-1,N,"5,70,000",25-06-2024
